heart_rate,light,stress_score,stress_category
63,3673,9.6,Relaxed
137,621,81.6,High Stress
76,2050,36.3,Normal
143,477,90.2,High Stress
137,519,77.4,High Stress
92,2503,34.2,Mild Stress
127,439,75.6,High Stress
60,3327,9.4,Relaxed
108,844,63.5,Moderate Stress
132,897,77.0,High Stress
99,2161,55.0,Mild Stress
109,697,69.3,Moderate Stress
132,1025,75.1,High Stress
64,3761,18.9,Normal
54,3982,7.7,Relaxed
60,3778,12.0,Relaxed
112,1285,57.9,Moderate Stress
61,3328,8.1,Relaxed
86,2482,39.2,Mild Stress
111,1161,66.9,Moderate Stress
102,2229,46.0,Mild Stress
131,153,81.3,High Stress
77,2616,33.8,Normal
85,1642,46.3,Mild Stress
110,353,76.4,Moderate Stress
63,3513,9.4,Relaxed
87,1877,44.1,Mild Stress
127,706,72.2,High Stress
138,679,76.2,High Stress
91,1907,43.8,Mild Stress
94,1786,47.6,Mild Stress
114,876,72.5,Moderate Stress
141,940,80.4,High Stress
120,1004,68.9,Moderate Stress
84,1266,47.3,Mild Stress
78,1857,25.7,Normal
90,1954,42.2,Mild Stress
67,3288,17.0,Relaxed
105,916,52.2,Moderate Stress
111,644,67.6,Moderate Stress
137,727,77.5,High Stress
86,1594,53.6,Mild Stress
82,3504,26.6,Normal
71,2921,27.7,Normal
78,2079,29.8,Normal
89,1459,48.8,Mild Stress
91,1679,42.7,Mild Stress
57,3072,6.9,Relaxed
64,3562,11.2,Relaxed
137,560,91.4,High Stress
95,1891,45.5,Mild Stress
64,2826,12.7,Relaxed
110,1483,65.1,Moderate Stress
78,2602,35.2,Normal
85,2775,33.7,Normal
63,3302,13.0,Relaxed
81,3208,29.3,Normal
94,1983,50.4,Mild Stress
143,893,82.4,High Stress
58,2981,12.4,Relaxed
77,2329,32.3,Normal
87,2401,38.9,Mild Stress
74,2491,22.3,Normal
78,2824,25.9,Normal
128,762,73.2,High Stress
84,1459,46.0,Mild Stress
79,2497,32.8,Normal
90,1855,38.6,Mild Stress
141,82,87.7,High Stress
136,0,88.8,High Stress
91,1710,44.8,Mild Stress
146,960,86.9,High Stress
126,738,74.8,High Stress
107,1173,62.6,Moderate Stress
66,3534,15.4,Relaxed
68,3199,19.9,Relaxed
63,3223,20.1,Relaxed
137,514,88.2,High Stress
63,2879,18.1,Relaxed
81,2290,33.7,Normal
91,2080,44.7,Mild Stress
54,3609,7.5,Relaxed
136,195,78.6,High Stress
112,1276,60.8,Moderate Stress
61,3035,15.0,Relaxed
66,2767,14.8,Normal
102,1183,61.3,Moderate Stress
74,3197,25.7,Normal
69,2965,22.8,Normal
137,452,82.3,High Stress
72,2534,24.5,Normal
100,1089,58.0,Moderate Stress
80,3396,27.2,Normal
106,481,62.7,Moderate Stress
70,3620,12.8,Relaxed
113,1301,60.4,Moderate Stress
75,2922,21.2,Normal
124,309,77.3,High Stress
90,1381,50.1,Mild Stress
90,2042,44.3,Mild Stress
61,2951,26.5,Relaxed
74,2343,26.0,Normal
70,3199,11.3,Relaxed
55,3527,8.5,Relaxed
76,3083,20.7,Normal
76,2553,29.7,Normal
89,2334,35.0,Mild Stress
69,2702,15.9,Normal
105,1277,45.5,Moderate Stress
111,901,60.4,Moderate Stress
138,446,84.3,High Stress
119,1155,67.3,Moderate Stress
98,952,57.4,Moderate Stress
60,3488,7.6,Relaxed
109,1274,60.7,Moderate Stress
138,428,87.5,High Stress
122,1816,60.9,Moderate Stress
97,1618,47.1,Mild Stress
145,938,82.1,High Stress
124,809,73.4,Moderate Stress
113,296,75.6,Moderate Stress
124,470,79.7,High Stress
155,503,98.8,High Stress
94,2442,35.3,Mild Stress
73,3101,23.0,Normal
68,3762,15.4,Relaxed
84,1541,43.2,Mild Stress
132,646,82.0,High Stress
110,1142,66.3,Moderate Stress
58,3994,18.0,Relaxed
70,3259,18.8,Relaxed
147,393,100.0,High Stress
76,2826,23.0,Normal
90,2295,41.3,Mild Stress
77,2504,31.2,Normal
72,2576,25.2,Normal
95,2304,41.5,Mild Stress
96,1652,52.0,Mild Stress
135,689,82.6,High Stress
103,1125,56.2,Moderate Stress
76,2606,24.8,Normal
135,820,72.8,High Stress
53,3111,11.9,Relaxed
60,3119,12.2,Relaxed
95,1316,53.3,Mild Stress
57,4095,2.3,Relaxed
68,2633,26.8,Normal
83,2165,22.4,Normal
114,1422,71.0,Moderate Stress
55,2944,19.1,Relaxed
85,2956,28.9,Normal
59,3488,9.2,Relaxed
80,2863,26.9,Normal
76,1913,35.7,Normal
136,485,81.0,High Stress
60,2857,20.6,Relaxed
73,2224,27.1,Normal
139,689,91.2,High Stress
104,1655,57.6,Moderate Stress
74,2275,32.5,Normal
127,494,75.1,High Stress
88,2902,31.8,Normal
110,1103,57.7,Moderate Stress
91,2454,39.9,Mild Stress
115,1893,54.7,Moderate Stress
134,729,79.5,High Stress
54,3419,8.7,Relaxed
88,2436,36.0,Mild Stress
65,2815,23.5,Relaxed
71,3191,21.5,Normal
135,470,81.9,High Stress
84,2923,30.0,Normal
79,3173,24.7,Normal
66,3665,7.4,Relaxed
64,3381,13.7,Relaxed
123,1096,64.9,Moderate Stress
120,1013,69.6,Moderate Stress
88,1217,44.8,Mild Stress
126,858,63.4,High Stress
64,2910,18.2,Relaxed
57,2736,21.8,Relaxed
62,3426,5.7,Relaxed
90,2328,41.6,Mild Stress
125,777,68.0,High Stress
62,3199,15.2,Relaxed
98,2100,42.0,Mild Stress
106,1729,46.5,Moderate Stress
107,1656,55.4,Moderate Stress
86,2135,38.5,Mild Stress
58,3168,7.8,Relaxed
61,3358,9.2,Relaxed
139,434,84.4,High Stress
91,1610,48.9,Mild Stress
99,1775,53.6,Mild Stress
80,2182,33.5,Normal
107,1992,46.5,Mild Stress
142,622,91.5,High Stress
113,1327,66.7,Moderate Stress
74,2885,16.1,Normal
141,691,88.2,High Stress
78,2705,28.7,Normal
65,3490,18.0,Relaxed
62,3142,12.9,Relaxed
98,1814,45.1,Mild Stress
53,3371,6.3,Relaxed
137,763,76.5,High Stress
87,2090,37.2,Mild Stress
96,1862,45.8,Mild Stress
81,2229,39.3,Normal
134,411,87.3,High Stress
112,1685,57.8,Moderate Stress
94,1608,52.6,Mild Stress
127,328,80.9,High Stress
137,736,88.8,High Stress
111,1614,54.8,Moderate Stress
73,2640,31.4,Normal
94,1967,45.3,Mild Stress
66,2963,19.1,Relaxed
124,639,80.9,High Stress
136,475,75.4,High Stress
61,3000,18.2,Relaxed
134,782,79.5,High Stress
138,104,84.1,High Stress
104,1742,53.5,Moderate Stress
53,3013,11.2,Relaxed
97,1646,52.2,Mild Stress
122,630,73.6,High Stress
90,1590,43.4,Mild Stress
70,1914,34.9,Normal
51,3009,16.7,Relaxed
88,1686,40.7,Mild Stress
60,2908,17.5,Relaxed
133,772,71.4,High Stress
67,3221,11.3,Relaxed
59,3219,11.8,Relaxed
64,3041,13.7,Relaxed
76,1564,41.4,Normal
133,328,82.6,High Stress
141,333,79.3,High Stress
147,527,89.4,High Stress
104,1169,61.1,Moderate Stress
63,3109,18.0,Relaxed
66,3309,13.4,Relaxed
131,588,75.5,High Stress
93,1566,45.8,Mild Stress
98,2067,44.4,Mild Stress
113,651,68.3,Moderate Stress
104,1447,53.4,Moderate Stress
120,1426,68.6,Moderate Stress
127,581,73.0,High Stress
94,2027,44.1,Mild Stress
93,1299,42.8,Mild Stress
94,1425,47.2,Mild Stress
110,1117,69.9,Moderate Stress
116,1557,61.1,Moderate Stress
58,3625,6.8,Relaxed
73,2375,25.1,Normal
89,1511,40.3,Mild Stress
132,1086,73.7,High Stress
55,3099,23.7,Relaxed
69,3829,11.0,Relaxed
98,1739,51.8,Mild Stress
97,2099,43.3,Mild Stress
64,2476,19.5,Normal
60,3540,15.6,Relaxed
74,2677,22.6,Normal
71,3216,25.3,Normal
85,1850,44.2,Mild Stress
62,3509,7.0,Relaxed
115,1125,64.4,Moderate Stress
134,767,88.2,High Stress
71,1762,32.1,Normal
105,685,56.9,Moderate Stress
136,851,74.2,High Stress
69,2701,26.7,Relaxed
102,1028,55.0,Moderate Stress
140,454,85.0,High Stress
63,3120,20.0,Relaxed
132,553,81.7,High Stress
83,2978,29.6,Normal
138,435,85.9,High Stress
85,966,55.4,Mild Stress
123,1648,69.2,Moderate Stress
78,3605,23.6,Normal
72,2032,35.3,Normal
122,917,71.8,Moderate Stress
136,758,78.1,High Stress
136,1031,84.4,High Stress
62,3631,17.4,Relaxed
59,3484,11.7,Relaxed
74,3115,20.3,Normal
143,738,82.6,High Stress
134,796,80.2,High Stress
95,1267,47.7,Mild Stress
101,922,52.6,Moderate Stress
140,925,81.2,High Stress
85,2768,37.5,Normal
79,2629,36.3,Normal
74,3035,29.0,Normal
63,3917,9.5,Relaxed
61,3426,17.0,Relaxed
65,3189,17.2,Relaxed
106,1058,53.6,Moderate Stress
135,914,77.0,High Stress
79,3397,26.5,Normal
61,3364,11.0,Relaxed
65,3713,17.2,Relaxed
115,1442,66.6,Moderate Stress
79,2484,33.2,Normal
108,891,65.6,Moderate Stress
94,2021,46.2,Mild Stress
144,824,81.2,High Stress
127,380,75.6,High Stress
101,1377,47.3,Moderate Stress
63,3169,21.0,Relaxed
75,2324,27.3,Normal
110,1301,58.0,Moderate Stress
92,1281,55.6,Mild Stress
78,2766,28.3,Normal
88,1824,54.7,Mild Stress
78,2942,28.5,Normal
103,724,58.9,Moderate Stress
134,480,84.1,High Stress
77,3232,19.4,Normal
82,2136,35.5,Normal
99,672,62.8,Moderate Stress
106,523,62.0,Moderate Stress
59,3989,7.2,Relaxed
136,67,86.5,High Stress
76,3033,31.1,Normal
143,573,85.8,High Stress
90,2195,38.5,Mild Stress
118,1002,60.8,Moderate Stress
78,2645,31.0,Normal
77,2825,27.0,Normal
93,2169,38.4,Mild Stress
90,1338,46.1,Mild Stress
77,2129,36.0,Normal
59,3191,21.4,Relaxed
141,355,89.5,High Stress
55,3289,14.2,Relaxed
82,2576,32.9,Normal
90,3035,24.4,Normal
82,3473,18.2,Normal
75,2475,26.3,Normal
79,2027,36.5,Normal
70,3569,14.1,Relaxed
99,2000,50.3,Mild Stress
86,2371,40.3,Normal
82,3129,26.2,Normal
78,2283,40.4,Normal
91,2533,41.3,Mild Stress
126,352,77.0,High Stress
93,1625,49.8,Mild Stress
59,3112,17.3,Relaxed
86,3009,39.1,Normal
87,1893,38.6,Mild Stress
80,1890,30.0,Normal
90,1201,45.4,Mild Stress
55,3795,10.9,Relaxed
113,982,66.9,Moderate Stress
59,3862,11.9,Relaxed
100,2161,47.6,Mild Stress
98,1391,55.5,Mild Stress
133,306,85.6,High Stress
143,969,78.1,High Stress
104,1129,60.6,Moderate Stress
57,3288,15.0,Relaxed
127,736,80.5,High Stress
74,2478,25.7,Normal
90,1891,43.2,Mild Stress
65,3581,15.5,Relaxed
59,2944,15.5,Relaxed
55,2965,6.4,Relaxed
129,408,85.4,High Stress
56,3946,6.9,Relaxed
126,480,73.6,High Stress
77,2340,31.6,Normal
111,995,67.0,Moderate Stress
93,2168,47.8,Mild Stress
92,2133,42.8,Mild Stress
96,2176,44.4,Mild Stress
66,3896,14.4,Relaxed
90,1784,44.3,Mild Stress
65,3324,12.8,Relaxed
108,1259,55.8,Moderate Stress
80,2308,39.0,Normal
148,979,76.3,High Stress
103,1610,53.4,Moderate Stress
66,3571,15.1,Relaxed
126,561,72.0,High Stress
67,3134,17.9,Normal
64,2744,27.9,Relaxed
91,1827,48.1,Mild Stress
107,807,62.4,Moderate Stress
75,3100,31.7,Normal
77,2786,30.9,Normal
81,2375,32.4,Normal
84,1726,46.5,Mild Stress
133,947,72.8,High Stress
75,2544,21.3,Normal
129,512,79.7,High Stress
97,2296,46.1,Mild Stress
63,3122,15.0,Relaxed
79,2047,41.2,Normal
76,2405,33.3,Normal
145,801,81.7,High Stress
116,1331,64.0,Moderate Stress
79,2810,29.5,Normal
90,1176,48.4,Mild Stress
87,1390,47.0,Mild Stress
77,2363,28.2,Normal
69,3395,15.6,Relaxed
111,1350,65.6,Moderate Stress
99,1422,52.1,Mild Stress
117,1543,62.9,Moderate Stress
144,48,95.7,High Stress
63,3250,5.6,Relaxed
88,1680,41.8,Mild Stress
147,518,86.2,High Stress
147,40,93.9,High Stress
72,2906,24.8,Normal
76,1839,36.8,Normal
117,512,72.3,Moderate Stress
114,715,65.5,Moderate Stress
91,2891,38.9,Normal
65,3556,18.9,Relaxed
141,521,80.8,High Stress
117,1152,66.3,Moderate Stress
72,2305,31.4,Normal
113,1262,58.5,Moderate Stress
118,763,70.4,Moderate Stress
89,1861,37.0,Mild Stress
79,2560,39.6,Normal
63,3498,11.3,Relaxed
111,1071,62.5,Moderate Stress
61,3070,10.0,Relaxed
85,2338,29.8,Normal
76,2304,35.0,Normal
86,1761,44.3,Mild Stress
95,1260,57.0,Moderate Stress
145,619,87.6,High Stress
62,3181,15.5,Relaxed
150,293,95.4,High Stress
89,2232,47.0,Mild Stress
133,706,83.2,High Stress
111,1288,58.6,Moderate Stress
138,724,77.1,High Stress
57,3281,13.7,Relaxed
83,2484,36.2,Normal
