heart_rate,light,stress_score,stress_category
74,2108,34.6,Normal
100,1486,60.2,Mild Stress
94,2018,43.7,Mild Stress
73,2732,21.4,Normal
65,3213,21.0,Relaxed
70,3511,13.0,Relaxed
58,3327,11.6,Relaxed
95,1702,43.1,Mild Stress
94,1990,45.6,Mild Stress
73,2563,26.8,Normal
85,2588,37.8,Mild Stress
59,3634,1.9,Relaxed
63,3107,24.1,Relaxed
57,3372,10.8,Relaxed
119,1331,58.1,Moderate Stress
106,306,71.2,Moderate Stress
85,2592,27.6,Normal
112,692,69.2,Moderate Stress
72,3291,12.8,Normal
76,3174,27.0,Normal
59,2411,20.9,Relaxed
115,1280,71.6,Moderate Stress
73,1893,31.7,Normal
61,3269,10.7,Relaxed
136,153,93.4,High Stress
71,3104,25.0,Relaxed
137,1199,78.4,High Stress
59,3819,6.2,Relaxed
127,774,71.5,High Stress
59,2801,16.0,Relaxed
77,2600,29.5,Normal
70,3345,15.6,Relaxed
137,636,86.8,High Stress
137,779,83.9,High Stress
67,2767,18.1,Normal
88,2013,42.0,Mild Stress
100,769,64.1,Moderate Stress
141,672,82.5,High Stress
138,848,79.8,High Stress
88,1357,48.1,Mild Stress
108,1257,58.9,Moderate Stress
134,337,81.4,High Stress
61,2939,15.3,Relaxed
68,2905,19.1,Relaxed
66,3285,25.5,Relaxed
113,899,67.8,Moderate Stress
108,1554,58.3,Moderate Stress
146,693,85.4,High Stress
109,1099,57.6,Moderate Stress
94,1556,49.3,Mild Stress
138,634,87.7,High Stress
136,710,77.0,High Stress
97,2016,47.8,Mild Stress
93,1537,47.1,Mild Stress
79,2042,39.5,Normal
103,1257,51.9,Moderate Stress
82,3004,28.4,Normal
61,3505,10.8,Relaxed
82,2910,39.0,Normal
91,1469,45.1,Mild Stress
92,2063,39.0,Mild Stress
133,542,77.6,High Stress
144,694,89.4,High Stress
113,1146,65.7,Moderate Stress
56,4047,0.0,Relaxed
88,2096,44.8,Mild Stress
104,1014,59.2,Moderate Stress
83,2047,39.0,Mild Stress
115,1096,72.6,Moderate Stress
140,424,83.6,High Stress
70,2188,17.9,Normal
58,3431,8.6,Relaxed
57,3246,9.7,Relaxed
66,3619,15.1,Relaxed
73,2637,25.0,Normal
92,1665,40.2,Mild Stress
62,3255,20.9,Relaxed
87,1612,39.8,Mild Stress
92,1708,47.1,Mild Stress
103,475,60.6,Moderate Stress
107,1329,60.9,Moderate Stress
107,1217,57.4,Moderate Stress
123,640,71.1,High Stress
81,2526,22.0,Normal
110,1379,59.8,Moderate Stress
73,1650,39.9,Normal
62,2736,17.3,Relaxed
62,3194,18.8,Relaxed
129,786,75.4,High Stress
114,960,64.7,Moderate Stress
126,926,70.4,High Stress
60,2878,20.1,Relaxed
64,4085,6.5,Relaxed
72,2039,31.4,Normal
61,3720,8.5,Relaxed
122,581,75.8,High Stress
90,1159,56.2,Mild Stress
114,990,72.9,Moderate Stress
66,2732,24.0,Relaxed
53,3595,4.7,Relaxed
90,2263,42.3,Normal
79,2664,35.1,Normal
89,1785,46.2,Mild Stress
140,491,79.8,High Stress
61,3503,15.3,Relaxed
70,3379,17.1,Relaxed
70,3471,15.2,Relaxed
70,2391,25.6,Normal
128,418,83.4,High Stress
80,1824,37.2,Normal
80,2603,24.8,Normal
68,2210,20.9,Normal
126,914,74.9,High Stress
59,3322,12.6,Relaxed
99,1935,54.4,Mild Stress
117,950,69.2,Moderate Stress
93,1834,45.5,Mild Stress
92,2086,42.7,Mild Stress
58,3164,13.9,Relaxed
86,1894,38.9,Mild Stress
77,1953,30.7,Normal
78,2829,27.7,Normal
135,621,72.9,High Stress
57,3774,8.9,Relaxed
93,1578,46.8,Mild Stress
131,751,72.7,High Stress
99,2237,38.3,Mild Stress
140,105,91.5,High Stress
89,1931,43.5,Mild Stress
113,1160,62.7,Moderate Stress
141,1063,82.6,High Stress
112,1117,60.7,Moderate Stress
77,1815,28.4,Normal
72,2908,26.6,Normal
110,1333,61.2,Moderate Stress
130,716,73.2,High Stress
150,936,81.6,High Stress
114,1070,56.4,Moderate Stress
62,3491,17.3,Relaxed
74,2911,24.7,Relaxed
117,1306,65.5,Moderate Stress
112,1130,57.1,Moderate Stress
141,675,82.6,High Stress
115,1037,69.5,Moderate Stress
145,608,92.0,High Stress
104,698,63.3,Moderate Stress
99,1877,51.7,Mild Stress
118,823,68.5,Moderate Stress
102,1270,55.4,Mild Stress
98,1360,54.5,Mild Stress
74,1762,31.2,Normal
123,1250,60.4,Moderate Stress
133,592,76.2,High Stress
146,588,84.6,High Stress
75,2459,34.6,Normal
60,3664,12.3,Relaxed
88,1172,44.8,Mild Stress
95,1874,46.7,Mild Stress
106,1353,57.7,Moderate Stress
63,3236,14.6,Relaxed
87,2071,35.3,Mild Stress
107,902,67.7,Moderate Stress
65,2638,16.3,Relaxed
77,2355,32.3,Normal
64,2543,29.4,Relaxed
108,1038,56.9,Moderate Stress
76,2834,27.9,Normal
82,2404,31.8,Normal
111,895,64.3,Moderate Stress
89,1962,42.4,Mild Stress
110,1406,57.8,Moderate Stress
67,2910,19.4,Normal
97,2211,53.4,Mild Stress
109,1745,52.2,Moderate Stress
55,3250,7.8,Relaxed
115,924,74.2,Moderate Stress
126,601,84.6,High Stress
117,703,67.8,Moderate Stress
60,3189,16.2,Relaxed
80,2848,24.6,Normal
116,452,64.1,High Stress
84,2259,37.8,Mild Stress
83,2567,36.0,Normal
56,3646,9.2,Relaxed
87,1793,44.3,Mild Stress
107,595,69.3,Moderate Stress
105,676,68.1,Moderate Stress
111,1223,59.0,Moderate Stress
65,3346,17.4,Relaxed
66,2341,22.9,Normal
57,3289,10.5,Relaxed
106,1405,62.1,Moderate Stress
108,1425,65.8,Moderate Stress
136,1039,77.2,High Stress
91,2301,48.4,Mild Stress
82,2888,32.8,Normal
61,3304,12.3,Relaxed
91,1655,38.1,Mild Stress
106,971,61.6,Moderate Stress
153,906,86.3,High Stress
115,1292,71.0,Moderate Stress
67,3211,18.9,Relaxed
94,1246,52.6,Mild Stress
132,613,84.1,High Stress
104,1068,54.1,Moderate Stress
77,2111,34.5,Mild Stress
84,1769,37.7,Mild Stress
110,1302,58.5,Moderate Stress
99,1264,63.3,Moderate Stress
63,4078,8.7,Relaxed
99,1485,55.8,Moderate Stress
65,3036,17.9,Relaxed
119,650,78.0,Moderate Stress
90,1740,39.5,Mild Stress
134,700,77.2,High Stress
91,1923,42.0,Mild Stress
138,562,83.8,High Stress
57,3524,11.4,Relaxed
106,1013,63.4,Moderate Stress
83,3517,23.4,Normal
78,2636,35.8,Normal
54,3191,7.5,Relaxed
134,0,86.8,High Stress
106,921,64.4,Moderate Stress
70,2468,25.5,Normal
106,1007,55.3,Moderate Stress
88,1781,43.9,Mild Stress
92,1833,46.6,Mild Stress
63,3195,21.5,Relaxed
92,2273,40.0,Mild Stress
57,3173,16.9,Relaxed
108,1748,59.8,Moderate Stress
78,3064,20.8,Normal
135,491,83.6,High Stress
59,3102,11.9,Relaxed
107,1185,67.1,Moderate Stress
